section_number,section_id,section_key,chapter_number,chapter_title,section_title,content_type,include_in_rag
1.0,book_embodied_ai_intro_2024:1.0,book_embodied_ai_intro_2024:1.0,1,具身智能概述,章引言,epigraph,false
1.1,book_embodied_ai_intro_2024:1.1,book_embodied_ai_intro_2024:1.1,1,具身智能概述,引言,core,true
1.2,book_embodied_ai_intro_2024:1.2,book_embodied_ai_intro_2024:1.2,1,具身智能概述,具身智能简史,core,true
1.3,book_embodied_ai_intro_2024:1.3,book_embodied_ai_intro_2024:1.3,1,具身智能概述,典型的具身智能任务,core,true
1.4,book_embodied_ai_intro_2024:1.4,book_embodied_ai_intro_2024:1.4,1,具身智能概述,具身智能的体系结构,core,true
1.5,book_embodied_ai_intro_2024:1.5,book_embodied_ai_intro_2024:1.5,1,具身智能概述,具身智能的优点、缺点与难点,core,true
1.6,book_embodied_ai_intro_2024:1.6,book_embodied_ai_intro_2024:1.6,1,具身智能概述,具身智能与机器人智能的关系,core,true
1.7,book_embodied_ai_intro_2024:1.7,book_embodied_ai_intro_2024:1.7,1,具身智能概述,小结,core,true
1.思考.1,book_embodied_ai_intro_2024:1.思考.1,book_embodied_ai_intro_2024:1.思考.1,1,具身智能概述,思考,exercise,false
2.0,book_embodied_ai_intro_2024:2.0,book_embodied_ai_intro_2024:2.0,2,神经网络与深度学习基础,章引言,epigraph,false
2.1,book_embodied_ai_intro_2024:2.1,book_embodied_ai_intro_2024:2.1,2,神经网络与深度学习基础,引言,core,true
2.2,book_embodied_ai_intro_2024:2.2,book_embodied_ai_intro_2024:2.2,2,神经网络与深度学习基础,多层感知机,core,true
2.3,book_embodied_ai_intro_2024:2.3,book_embodied_ai_intro_2024:2.3,2,神经网络与深度学习基础,图像的特征提取,core,true
2.4,book_embodied_ai_intro_2024:2.4,book_embodied_ai_intro_2024:2.4,2,神经网络与深度学习基础,序列的特征提取,core,true
2.5,book_embodied_ai_intro_2024:2.5,book_embodied_ai_intro_2024:2.5,2,神经网络与深度学习基础,图结构的特征提取,core,true
2.6,book_embodied_ai_intro_2024:2.6,book_embodied_ai_intro_2024:2.6,2,神经网络与深度学习基础,视觉目标检测与分割,core,true
2.7,book_embodied_ai_intro_2024:2.7,book_embodied_ai_intro_2024:2.7,2,神经网络与深度学习基础,前沿阅读,core,true
2.8,book_embodied_ai_intro_2024:2.8,book_embodied_ai_intro_2024:2.8,2,神经网络与深度学习基础,小结,core,true
2.参考文献.1,book_embodied_ai_intro_2024:2.参考文献.1,book_embodied_ai_intro_2024:2.参考文献.1,2,神经网络与深度学习基础,参考文献,reference,false
3.0,book_embodied_ai_intro_2024:3.0,book_embodied_ai_intro_2024:3.0,3,动作学习基础,章引言,epigraph,false
3.1,book_embodied_ai_intro_2024:3.1,book_embodied_ai_intro_2024:3.1,3,动作学习基础,引言,core,true
3.2,book_embodied_ai_intro_2024:3.2,book_embodied_ai_intro_2024:3.2,3,动作学习基础,马尔可夫决策过程,core,true
3.3,book_embodied_ai_intro_2024:3.3,book_embodied_ai_intro_2024:3.3,3,动作学习基础,值函数学习方法,core,true
3.3.1,book_embodied_ai_intro_2024:3.3.1,book_embodied_ai_intro_2024:3.3.1,3,动作学习基础,Q 学习,core,true
3.3.2,book_embodied_ai_intro_2024:3.3.2,book_embodied_ai_intro_2024:3.3.2,3,动作学习基础,深度 Q 网络,core,true
3.4,book_embodied_ai_intro_2024:3.4,book_embodied_ai_intro_2024:3.4,3,动作学习基础,策略学习方法,core,true
3.4.1,book_embodied_ai_intro_2024:3.4.1,book_embodied_ai_intro_2024:3.4.1,3,动作学习基础,基本策略梯度方法,core,true
3.4.2,book_embodied_ai_intro_2024:3.4.2,book_embodied_ai_intro_2024:3.4.2,3,动作学习基础,REINFORCE 算法,core,true
3.5,book_embodied_ai_intro_2024:3.5,book_embodied_ai_intro_2024:3.5,3,动作学习基础,Actor-Critic 方法,core,true
3.6,book_embodied_ai_intro_2024:3.6,book_embodied_ai_intro_2024:3.6,3,动作学习基础,近端策略优化算法,core,true
3.7,book_embodied_ai_intro_2024:3.7,book_embodied_ai_intro_2024:3.7,3,动作学习基础,模仿学习,core,true
3.7.1,book_embodied_ai_intro_2024:3.7.1,book_embodied_ai_intro_2024:3.7.1,3,动作学习基础,行为克隆,core,true
3.7.2,book_embodied_ai_intro_2024:3.7.2,book_embodied_ai_intro_2024:3.7.2,3,动作学习基础,学徒学习,core,true
3.8,book_embodied_ai_intro_2024:3.8,book_embodied_ai_intro_2024:3.8,3,动作学习基础,前沿阅读,core,true
3.9,book_embodied_ai_intro_2024:3.9,book_embodied_ai_intro_2024:3.9,3,动作学习基础,小结,core,true
3.参考文献.1,book_embodied_ai_intro_2024:3.参考文献.1,book_embodied_ai_intro_2024:3.参考文献.1,3,动作学习基础,参考文献,reference,false
3.思考.1,book_embodied_ai_intro_2024:3.思考.1,book_embodied_ai_intro_2024:3.思考.1,3,动作学习基础,思考,exercise,false
4.0,book_embodied_ai_intro_2024:4.0,book_embodied_ai_intro_2024:4.0,4,仿真平台,章引言,epigraph,false
4.1,book_embodied_ai_intro_2024:4.1,book_embodied_ai_intro_2024:4.1,4,仿真平台,引言,core,true
4.2,book_embodied_ai_intro_2024:4.2,book_embodied_ai_intro_2024:4.2,4,仿真平台,Gym 仿真环境,core,true
4.2.1,book_embodied_ai_intro_2024:4.2.1,book_embodied_ai_intro_2024:4.2.1,4,仿真平台,Gym 强化学习算法框架,core,true
4.2.2,book_embodied_ai_intro_2024:4.2.2,book_embodied_ai_intro_2024:4.2.2,4,仿真平台,Gym 集成的仿真环境与任务简介,core,true
4.3,book_embodied_ai_intro_2024:4.3,book_embodied_ai_intro_2024:4.3,4,仿真平台,AI2THOR 仿真平台框架,core,true
4.3.1,book_embodied_ai_intro_2024:4.3.1,book_embodied_ai_intro_2024:4.3.1,4,仿真平台,场景数据集,core,true
4.3.2,book_embodied_ai_intro_2024:4.3.2,book_embodied_ai_intro_2024:4.3.2,4,仿真平台,环境介绍,core,true
4.3.3,book_embodied_ai_intro_2024:4.3.3,book_embodied_ai_intro_2024:4.3.3,4,仿真平台,交互动作,core,true
4.4,book_embodied_ai_intro_2024:4.4,book_embodied_ai_intro_2024:4.4,4,仿真平台,实验示例,core,true
4.5,book_embodied_ai_intro_2024:4.5,book_embodied_ai_intro_2024:4.5,4,仿真平台,前沿阅读,core,true
4.6,book_embodied_ai_intro_2024:4.6,book_embodied_ai_intro_2024:4.6,4,仿真平台,小结,core,true
5.0,book_embodied_ai_intro_2024:5.0,book_embodied_ai_intro_2024:5.0,5,形态计算,章引言,epigraph,false
5.1,book_embodied_ai_intro_2024:5.1,book_embodied_ai_intro_2024:5.1,5,形态计算,引言,core,true
5.2,book_embodied_ai_intro_2024:5.2,book_embodied_ai_intro_2024:5.2,5,形态计算,形态计算的基本原理与物理实现,core,true
5.3,book_embodied_ai_intro_2024:5.3,book_embodied_ai_intro_2024:5.3,5,形态计算,形态计算的动态系统分析方法,core,true
5.3.1,book_embodied_ai_intro_2024:5.3.1,book_embodied_ai_intro_2024:5.3.1,5,形态计算,储备池计算模型,core,true
5.3.2,book_embodied_ai_intro_2024:5.3.2,book_embodied_ai_intro_2024:5.3.2,5,形态计算,物理储备池模型,core,true
5.4,book_embodied_ai_intro_2024:5.4,book_embodied_ai_intro_2024:5.4,5,形态计算,形态计算的信息论分析方法,core,true
5.5,book_embodied_ai_intro_2024:5.5,book_embodied_ai_intro_2024:5.5,5,形态计算,前沿阅读,core,true
5.6,book_embodied_ai_intro_2024:5.6,book_embodied_ai_intro_2024:5.6,5,形态计算,小结,core,true
5.思考.1,book_embodied_ai_intro_2024:5.思考.1,book_embodied_ai_intro_2024:5.思考.1,5,形态计算,思考,exercise,false
6.0,book_embodied_ai_intro_2024:6.0,book_embodied_ai_intro_2024:6.0,6,结构化形态控制,章引言,epigraph,false
6.1,book_embodied_ai_intro_2024:6.1,book_embodied_ai_intro_2024:6.1,6,结构化形态控制,引言,core,true
6.2,book_embodied_ai_intro_2024:6.2,book_embodied_ai_intro_2024:6.2,6,结构化形态控制,问题描述,core,true
6.3,book_embodied_ai_intro_2024:6.3,book_embodied_ai_intro_2024:6.3,6,结构化形态控制,结构化形态控制方法,core,true
6.3.1,book_embodied_ai_intro_2024:6.3.1,book_embodied_ai_intro_2024:6.3.1,6,结构化形态控制,形态的表示,core,true
6.3.2,book_embodied_ai_intro_2024:6.3.2,book_embodied_ai_intro_2024:6.3.2,6,结构化形态控制,输出模型,core,true
6.3.3,book_embodied_ai_intro_2024:6.3.3,book_embodied_ai_intro_2024:6.3.3,6,结构化形态控制,特殊情形,core,true
6.4,book_embodied_ai_intro_2024:6.4,book_embodied_ai_intro_2024:6.4,6,结构化形态控制,结构化形态控制实例,core,true
6.4.1,book_embodied_ai_intro_2024:6.4.1,book_embodied_ai_intro_2024:6.4.1,6,结构化形态控制,Reacher 智能体,core,true
6.4.2,book_embodied_ai_intro_2024:6.4.2,book_embodied_ai_intro_2024:6.4.2,6,结构化形态控制,Snake Three 智能体,core,true
6.4.3,book_embodied_ai_intro_2024:6.4.3,book_embodied_ai_intro_2024:6.4.3,6,结构化形态控制,Hopper 智能体,core,true
6.4.4,book_embodied_ai_intro_2024:6.4.4,book_embodied_ai_intro_2024:6.4.4,6,结构化形态控制,HalfCheetah 智能体,core,true
6.4.5,book_embodied_ai_intro_2024:6.4.5,book_embodied_ai_intro_2024:6.4.5,6,结构化形态控制,Walker2D 智能体,core,true
6.5,book_embodied_ai_intro_2024:6.5,book_embodied_ai_intro_2024:6.5,6,结构化形态控制,不同形态之间的迁移学习,core,true
6.5.1,book_embodied_ai_intro_2024:6.5.1,book_embodied_ai_intro_2024:6.5.1,6,结构化形态控制,结构迁移学习,core,true
6.5.2,book_embodied_ai_intro_2024:6.5.2,book_embodied_ai_intro_2024:6.5.2,6,结构化形态控制,故障迁移学习,core,true
6.6,book_embodied_ai_intro_2024:6.6,book_embodied_ai_intro_2024:6.6,6,结构化形态控制,前沿阅读,core,true
6.7,book_embodied_ai_intro_2024:6.7,book_embodied_ai_intro_2024:6.7,6,结构化形态控制,小结,core,true
6.参考文献.1,book_embodied_ai_intro_2024:6.参考文献.1,book_embodied_ai_intro_2024:6.参考文献.1,6,结构化形态控制,参考文献,reference,false
6.思考.1,book_embodied_ai_intro_2024:6.思考.1,book_embodied_ai_intro_2024:6.思考.1,6,结构化形态控制,思考,exercise,false
7.0,book_embodied_ai_intro_2024:7.0,book_embodied_ai_intro_2024:7.0,7,形态与控制的协同优化,章引言,epigraph,false
7.1,book_embodied_ai_intro_2024:7.1,book_embodied_ai_intro_2024:7.1,7,形态与控制的协同优化,引言,core,true
7.2,book_embodied_ai_intro_2024:7.2,book_embodied_ai_intro_2024:7.2,7,形态与控制的协同优化,问题描述,core,true
7.3,book_embodied_ai_intro_2024:7.3,book_embodied_ai_intro_2024:7.3,7,形态与控制的协同优化,形态参数的优化,core,true
7.3.1,book_embodied_ai_intro_2024:7.3.1,book_embodied_ai_intro_2024:7.3.1,7,形态与控制的协同优化,算法设计,core,true
7.3.2,book_embodied_ai_intro_2024:7.3.2,book_embodied_ai_intro_2024:7.3.2,7,形态与控制的协同优化,实例分析,core,true
7.4,book_embodied_ai_intro_2024:7.4,book_embodied_ai_intro_2024:7.4,7,形态与控制的协同优化,形态结构的优化,core,true
